iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
HRV,2001.5,2001,2002,1,0.0011235955056179776,890,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2002.5,2002,2003,4,0.004395604395604396,910,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2003.5,2003,2004,3,0.0033259423503325942,902,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2004.5,2004,2005,3,0.0033149171270718232,905,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2005.5,2005,2006,3,0.0035971223021582736,834,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2006.5,2006,2007,4,0.005044136191677175,793,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2007.5,2007,2008,6,0.0076824583866837385,781,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2008.5,2008,2009,3,0.003896103896103896,770,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2009.5,2009,2010,6,0.008321775312066574,721,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2010.5,2010,2011,4,0.005681818181818182,704,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2011.5,2011,2012,4,0.005772005772005772,693,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2012.5,2012,2013,3,0.004746835443037975,632,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2013.5,2013,2014,2,0.0030864197530864196,648,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2014.5,2014,2015,1,0.0016556291390728477,604,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2015.5,2015,2016,1,0.0016638935108153079,601,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
HRV,2016.5,2016,2017,1,0.0019801980198019802,505,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
CZE,1986.5,1986,1987,20,0.0075075075075075074,2664,NA,NA,NA,vr,TRUE,1,maternal,0.5841427266999802,0.060900180177062876,0.3412227263073415,NA,0.9993325863685896,4.3005508606311845e-7,NA,4.4544097759599006e-7,-9.041765108417882e-6,NA
