IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2011,false,,,,,,,,,,,,,12000,,,11000,,13000,"12,000 [11,000 – 13,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2011,false,,,,,,,,,,,,,201000,,,187000,,225000,"201,000 [187,000 – 225,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2011,false,,,,,,,,,,,,,334000,,,320000,,364000,"334,000 [320,000 – 364,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2011,false,,,,,,,,,,,,,35000,,,31000,,43000,"35,000 [31,000 – 43,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2011,false,,,,,,,,,,,,,74000,,,67000,,84000,"74,000 [67,000 – 84,000]",,,EN,2019-12-13T00:00:00.000Z
MORT_MATERNALNUM,Number of maternal deaths,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2011,false,,,,,,,,,,,,,9400,,,9000,,9900,"9,400 [9,000 – 9,900]",,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2010,false,,,,,,,,,,,,,17,,,16,,18,17 [16 – 18],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2010,false,,,,,,,,,,,,,214,,,193,,240,214 [193 – 240],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2010,false,,,,,,,,,,,,,220,,,191,,268,220 [191 – 268],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2010,false,,,,,,,,,,,,,248,,,238,,269,248 [238 – 269],,,EN,2019-12-13T00:00:00.000Z
MDG_0000000026,Maternal mortality ratio (per 100 000 live births),text,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2010,false,,,,,,,,,,,,,51,,,47,,56,51 [47 – 56],,,EN,2019-12-13T00:00:00.000Z
